state,label,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
neutral,powerByBand,3.491790987167191,24.509332738756488,1.5989559411389578,7.595762474533434,6.959674486700886,91.34906426207448,8.650450984016528,1.5357493689226078,2.133157447558036,4.015172176176335,1.2529473588982902,3.3809788435355554,2.629728981836416,26.26039117515937,4.688935390228618,1.8432483715018608,1.6968602607317584,22.216506317897384,0.8103088930880757,2.749445038788201,6.002425006101514,48.01286960187035,23.616936030402616,2.104488549104502,0.2838574347406031,1.566067241172425,0.2928911815775,0.4602673767745282,0.6540276138895238,8.163506746574498,1.3813950617710933,0.2233604642221433,1.838269473080441,32.460317324221975,1.258432788416274,1.5961989282975295,5.226553872771943,53.21809237059692,20.75230236020608,2.407395109567423
neutral,powerByBand,0.9960708366457456,8.86072762570088,1.445059410120713,3.806357638896863,4.682781439788441,44.008995845027925,2.769027777895505,4.125934293627723,1.5432427464711382,4.5548749329545215,1.1489646624904029,2.808436119911983,2.8881442596538465,15.904446653684897,3.8958891657323615,1.4937595004044892,1.3163259639973837,17.077397230236457,0.9185712457978163,0.9766130603587048,2.293576947398241,59.32135889964198,12.91128432990078,1.143459705045762,0.2288340741894446,1.754862226188891,0.3140152616995427,0.4106804251261783,0.6445796325845232,3.854467228100308,1.2985732096526494,0.3313198502766281,1.0606893942452025,19.71137932871869,1.4347404309516776,1.258223563868107,4.574581850085917,61.33075264287877,6.7341987594811865,0.779013026955913
neutral,powerByBand,5.3069111790184005,16.141376216045014,0.7942903282598351,8.696250616134948,8.058594726903317,52.64813498494238,11.482462107483292,3.8799842389348576,1.2121356361538382,8.192710081603707,0.8028754611801824,1.9422313223371623,3.587755271096917,24.238643547898427,4.17733780945284,1.6055259874040742,3.758097927320886,21.87409952199502,1.5848903035442017,1.3333442490744911,6.022362763004603,104.93540030273138,7.825992090121534,3.305741272383697,0.1837541508197082,1.743973238291994,0.2501118845570879,0.4508571740288242,0.9059354213585544,4.295246239824724,1.055199637736975,0.3130166181532028,3.9475759571888,28.98649535336671,1.4347503857604,1.371164734384172,4.408242677540752,141.3677378356805,9.567150846683536,3.190145028250516
neutral,powerByBand,3.196047021038247,14.195205404555152,1.5739789435972085,7.780910545245096,11.393884881258638,65.2573984561517,4.928980065835536,4.0095817542317285,1.2994498053398564,6.677348752780305,0.8237672982465607,2.30275879184976,3.6611967924165674,23.34892342800521,2.4469547580840487,1.9711901433104075,1.697442838395944,13.412206820404048,1.172938538780573,1.743787999830314,5.659553259908013,122.10900620458342,19.383227000811356,1.0291541400951232,0.3101141628517405,1.6515591049438056,0.2413058213128435,0.6182528242630866,0.92504855355276,4.722962480267399,0.556108666204676,0.5209318607328371,1.9458977416609733,12.326283723090476,1.416668136640655,2.864112764972867,4.722894739697879,132.45769455230337,13.48044859618144,2.2462705458732186
neutral,powerByBand,2.7247394599689314,18.010703921118203,1.5115058037367637,5.958737343463603,3.497996523272549,93.01046726282192,6.659910194058571,2.372723002027646,1.5743699885925997,3.2179112415765343,0.7787871105760823,1.4704238553896891,3.575030297230718,14.14252271856028,2.7381317931122497,1.469359368083892,1.0514670456569526,21.42448300256043,1.9544700981958831,2.860251943861804,1.6091060808714572,153.75174587479293,9.401490907530116,0.8173844406814545,0.2751230075708772,1.0666572296393697,0.2590370395672438,0.3685163526780325,0.6402524657198834,5.253200090037075,0.6416425611733094,0.3868716959494251,1.1700296024243584,15.78684361095668,1.7963559355973038,3.482444048109476,2.7506928693012997,163.52437990081515,6.546002852737995,1.3099903621453726
neutral,powerByBand,5.279723375892337,13.961271265316164,1.2554490109831211,11.502955092280573,13.623913172066688,91.82579904667476,7.071739561915301,6.426269322117329,1.5482130966099303,3.6018539666260025,1.1898357773186476,2.876579557312429,2.7257502419520963,18.338207612442574,3.023238215812093,1.798357382531486,2.8453916062612685,15.944023015518274,1.1620044618377254,0.5481706692422872,3.0003036837984745,280.1618740390852,16.908942998506017,2.0955108250065173,0.1885087689771699,0.8971389673456248,0.1556328873099679,0.1592634344123799,0.57815410628008,5.01037667604437,0.5952375537503599,0.2155287384355229,2.571263265681261,21.785026467989624,0.9741951233580474,1.4192687426034871,4.404504884544208,218.08823597080243,15.44477066759553,2.313705673044263
neutral,powerByBand,4.912998992682731,30.158017313449463,1.2908485123352995,3.738945771414222,2.589715248519744,90.3473882738652,8.389003080690381,4.807515574922207,1.446110741994128,4.173226191948704,0.6908025797209414,1.4343764268249657,3.9911387545127823,21.72936417306448,2.319755599830466,1.2534660990171127,1.404358921435863,24.32952474231537,0.764081594611456,2.0030191694896384,2.2222954975384326,100.0347099768596,7.983993126257474,3.49183473022038,0.1386152892128295,0.460840708607635,0.1469557330060028,0.2230377162665894,0.7303696989911895,4.361750620541852,0.5781700206899772,0.2585562142322459,2.382707955561425,44.467700054274445,1.394232381692806,2.194356962881547,5.08711942288072,152.46238699806412,13.91024899212215,2.081599735977675
neutral,powerByBand,4.323895777091379,38.63954222460534,1.3863557906742796,4.225786833569067,6.19253960257313,133.52008439675868,5.545078201831668,7.110603019399608,2.020328129294016,5.348947051504133,0.7206095986376937,2.2368834304289527,5.179477539854666,28.196328592547783,2.565221937826566,1.9300201656329132,1.9748274637194885,38.99915230179447,1.589972686738587,0.8111853754433334,1.846815256516704,336.127973185336,16.849001595135604,1.9603539600604647,0.1759130560396989,1.9504497245468797,0.2708127190862758,0.2711942140600925,0.8499088019000737,7.114716200367926,1.0367326447013825,0.2740267445038535,2.5768895462185424,22.29826183654525,2.0473079546827204,0.9786581795117644,4.374077089256239,365.6961981481403,13.940841501169414,1.4289563302572872
neutral,powerByBand,3.501713431983419,19.557900554687876,1.2495258299311136,4.755495649861668,3.694863162522355,79.28330591264992,5.459476454734463,4.371173258022099,1.536663946119364,6.9721231174027904,1.2923692094849564,1.479288166476688,2.347497464133457,25.348306114023583,4.486862871349905,1.2392929403346875,1.746027496407354,42.74998031074966,1.3230331050753326,1.145674651481381,4.457449456168945,233.17537397762231,17.16521345092888,1.1958719331948826,0.1742707270246524,1.8597211205934403,0.2272083165550066,0.2255983889905161,0.5987483818659494,7.30812280556396,0.8408777530401998,0.2395709629397009,3.4892441955989115,52.72348889005518,0.8750981502145853,0.7834660087782268,6.137430880213223,249.05283523178903,14.139973200916556,1.1704578143590203
neutral,powerByBand,2.5328058078872107,27.310358915928983,1.3204497275070055,7.091246512024353,6.462476519720814,70.1914845936311,4.967650389177133,2.5277015870178103,1.4111016932725315,7.925893393924621,0.9510560021216526,1.7145553091170154,4.354916578410049,23.49918715285408,3.2347281104604324,1.5398904789785663,2.7434085920190885,36.90105303123244,0.6216494263399756,2.282535268454316,7.382297952347249,228.1952415723283,18.410695130262745,1.364861317263186,0.2115731919201121,2.608417474476165,0.3049835550588458,0.3141165818487041,0.788153855384786,3.7216504945701465,1.1920604708738205,0.256953919327283,3.239261701480094,31.781527580230502,0.6243428846691624,1.9289425396130244,4.452844169775363,198.97692897285597,6.997510159595217,2.1864685491368925
